CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7708519;S;7896189226811;UN;SILICONE PROAUTO AEROSOL 321ML
7708532;S;7896189200538;UN;LIMPA FAROL PROAUTO 150GR
7708535;S;7896090704545;UN;ALCOOL GEL COPERALCOOL 70C 500G
7708536;S;7891150064522;UN;DETERGENTE PO OMO LAV PERFEITA 400G
7708544;S;7896001013940;UN;MOP BETTANIN NOVICA FIT UN
7708547;S;7896001048010;UN;ESPONJA BETTANIN ESFREBOM DISPENS REF UN
7708548;S;7896098903544;UN;DESINFETANTE YPE BAK FLORAL 1L
7708560;S;7891025123460;UN;IOG DANONE ACTIVIA AVEIA SG GF 800GR
7708567;S;7899706170895;UN;CREME PENTEAR ELSEVE LONGOS DOS SON250ML
7708570;S;7899706167703;UN;CONJ ELSEVE SH COND ARGININA 545ML
7708571;S;7899706164412;UN;CONJ ELSEVE SH COND HIDRA DET 545ML
7708583;S;7896329300227;UN;POLENTA PALITO DELLA NONNA CONG 2KG
7708586;S;7896021625543;UN;AROMAT INSPIRA LAVANDA SHT UN
7708589;S;7896021626687;UN;ANTI MOFO INSPIRA M INFANCIA CLOSET 200G
7708595;S;7891055633908;UN;ESCOVA CABELO CONDOR REF 6898 BARBIE UN
7708605;S;7898330160487;UN;PAO TCHE 12 GRAOS 400GR
7708606;S;7898330160319;UN;PAO TCHE FORMA SEM CASCA 400G
7708608;S;7896022086053;UN;BOLINHO TOONS BAUNILHA C MORANGO 40G
7708609;S;7896022086060;UN;BOLINHO TOONS BRIGADEIRO C CHOCO 40G
7708619;S;7898920699625;UN;TOALHA PAPEL FLORAX PRATIC 2UN
7708635;S;7896067203897;UN;PILHA PANASONIC MEDIA PREMIUM  L4P3
7708642;S;7896275920166;UN;FGO EMP FRIMESA COXA SOBRECOXA 300GR
7708647;S;7896098900819;UN;LIMPADOR MULTIUSO YPE PREMIUM 500ML
7708661;S;7896348845204;UN;IOG PIA CREMOSO ABACATE 800G
7708665;S;7897265601157;UN;GRANULADO HIGIENICO GATOS MIAU 4KG
7708666;S;7898142863736;UN;CHOCOLATE ARCOR TORTUGUITA CHOCOCROC18,5
7708680;S;7898570570800;UN;BRINQ TRENZINHO EDUCATIVO II
7708700;S;7898420971818;UN;PENEIRA MIMO INOX UN
7708722;S;7890541551986;UN;SAND HAVAIANA KIDS RADICAL PTO 29 30
7708740;S;7890541129666;UN;SAND HAVAIANA KIDS SLIM TANGLED LAV27 28
7708756;S;7896000712981;UN;CREME PENTEAR NIELY LISO PROLONGADO 250G
7708762;S;7890541036858;UN;SAND HAVAIANA SLIM OCEANO BCO 33 34
7708774;S;7890541132451;UN;SAND HAVAIANA SLIM TROPICAL NUDE SA33 34
7708775;S;7890541132468;UN;SAND HAVAIANA SLIM TROPICAL NUDE SA35 36
7708778;S;7891224365746;UN;SAND HAVAIANA SLIM TROPICAL PTO 33 34
7708779;S;7891224365753;UN;SAND HAVAIANA SLIM TROPICAL PTO 35 36
7708782;S;7890541330994;UN;SAND HAVAIANA SLIM TROPICAL LAV 33 34
7708783;S;7890541331007;UN;SAND HAVAIANA SLIM TROPICAL LAV 35 36
7708787;S;7893249358222;UN;SAND HAVAIANA SLIM TROPICAL RSA 35 36
7708791;S;7891224956821;UN;SAND HAVAIANA SURF AZUL TRAD 39 40
7708792;S;7891224956838;UN;SAND HAVAIANA SURF AZUL TRAD 41 42
7708794;S;7893249241197;UN;SAND HAVAIANA TOP ANIMAIS ARE COBRE33 34
7708795;S;7893249241203;UN;SAND HAVAIANA TOP ANIMAIS ARE COBR 35 36
7708833;S;7891150053625;UN;PICOLE KIBON PALITO KIBONBON MOR 77ML
7708836;S;7891150066342;UN;SORVETE KIBON BLAST MMS 800ML
7708842;S;7894904958610;UN;FGO MEIO ASA SEARA CONG PCT 1KG
7708847;S;7898961290287;UN;OVOS VERMELHOS CAIPIRA EMBALAGEM C 6UN
7708848;S;7896064205665;UN;PANETONE CASA DORO FRUTAS 400G
7708850;S;7891150063594;UN;CREME DENTAL CLOSE UP ALOE FRESH 90GR
